,code,deadline_time,deadline_time_formatted,event,event_day,finished,finished_provisional,id,kickoff_time,kickoff_time_formatted,minutes,provisional_start_time,started,stats,team_a,team_a_score,team_h,team_h_score
0,987597,2018-08-10T18:00:00Z,10 Aug 19:00,1,1,False,False,6,2018-08-10T19:00:00Z,10 Aug 20:00,0,False,False,[],11,,14,
1,987598,2018-08-10T18:00:00Z,10 Aug 19:00,1,2,False,False,7,2018-08-11T11:30:00Z,11 Aug 12:30,0,False,False,[],17,,15,
2,987592,2018-08-10T18:00:00Z,10 Aug 19:00,1,2,False,False,2,2018-08-11T14:00:00Z,11 Aug 15:00,0,False,False,[],5,,2,
3,987594,2018-08-10T18:00:00Z,10 Aug 19:00,1,2,False,False,3,2018-08-11T14:00:00Z,11 Aug 15:00,0,False,False,[],7,,9,
4,987595,2018-08-10T18:00:00Z,10 Aug 19:00,1,2,False,False,4,2018-08-11T14:00:00Z,11 Aug 15:00,0,False,False,[],6,,10,
5,987600,2018-08-10T18:00:00Z,10 Aug 19:00,1,2,False,False,9,2018-08-11T14:00:00Z,11 Aug 15:00,0,False,False,[],3,,18,
6,987601,2018-08-10T18:00:00Z,10 Aug 19:00,1,2,False,False,10,2018-08-11T16:30:00Z,11 Aug 17:30,0,False,False,[],8,,20,
7,987596,2018-08-10T18:00:00Z,10 Aug 19:00,1,3,False,False,5,2018-08-12T12:30:00Z,12 Aug 13:30,0,False,False,[],19,,12,
8,987599,2018-08-10T18:00:00Z,10 Aug 19:00,1,3,False,False,8,2018-08-12T12:30:00Z,12 Aug 13:30,0,False,False,[],4,,16,
9,987593,2018-08-10T18:00:00Z,10 Aug 19:00,1,3,False,False,1,2018-08-12T15:00:00Z,12 Aug 16:00,0,False,False,[],13,,1,
