Team,H_Att,H_Def,A_Att,A_Def
Arsenal,2.8421052631578947,0.95,1.0526315789473684,0.6129032258064516
Bournemouth,1.368421052631579,0.6333333333333333,1.0,0.6129032258064516
Brighton,1.263157894736842,0.76,0.5263157894736842,0.6551724137931034
Burnley,0.8421052631578947,1.1176470588235294,1.0526315789473684,0.8636363636363636
Cardiff,0.8947368421052632,0.7916666666666666,0.5789473684210527,0.59375
Chelsea,1.5789473684210527,1.1875,1.6842105263157894,0.8636363636363636
Crystal Palace,1.5263157894736843,0.7037037037037037,0.8421052631578947,0.6785714285714286
Everton,1.4736842105263157,0.8636363636363636,0.8421052631578947,0.5277777777777778
Fulham,1.105263157894737,0.6551724137931034,0.5263157894736842,0.7037037037037037
Huddersfield,0.8421052631578947,0.76,0.631578947368421,0.5757575757575758
Leicester,1.3157894736842106,0.8636363636363636,1.631578947368421,0.5
Liverpool,2.3684210526315788,1.9,2.0526315789473686,0.6785714285714286
Man City,3.210526315789474,1.3571428571428572,2.3684210526315788,1.4615384615384615
Man Utd,2.0,2.111111111111111,1.5789473684210527,1.0
Newcastle,1.105263157894737,1.1176470588235294,0.9473684210526315,0.6333333333333333
Southampton,1.0526315789473684,0.7307692307692307,0.8947368421052632,0.6333333333333333
Spurs,2.1052631578947367,1.1875,1.7894736842105263,0.95
Watford,1.4210526315789473,0.6129032258064516,0.8947368421052632,0.5757575757575758
West Ham,1.263157894736842,0.7307692307692307,1.263157894736842,0.4523809523809524
Wolves,1.0526315789473684,0.6333333333333333,0.7894736842105263,0.5
