,HGF,HGA,AGF,AGA
Man City,2.3968565815324165,0.5500982318271119,1.7681728880157168,0.5108055009823183
Man Utd,1.493123772102161,0.3536345776031434,1.1787819253438114,0.7465618860510805
Spurs,1.5717092337917484,0.6286836935166994,1.3359528487229861,0.7858546168958742
Liverpool,1.7681728880157168,0.3929273084479371,1.532416502946955,1.1001964636542239
Chelsea,1.1787819253438114,0.6286836935166994,1.2573673870333988,0.8644400785854617
Arsenal,2.1218074656188604,0.7858546168958742,0.7858546168958742,1.218074656188605
Burnley,0.6286836935166994,0.6679764243614931,0.7858546168958742,0.8644400785854617
Everton,1.1001964636542239,0.8644400785854617,0.6286836935166994,1.4145383104125735
Leicester,0.9823182711198428,0.8644400785854617,1.218074656188605,1.493123772102161
Newcastle,0.825147347740668,0.6679764243614931,0.7072691552062867,1.1787819253438114
Crystal Palace,1.1394891944990178,1.0609037328094302,0.6286836935166994,1.1001964636542239
Bournemouth,1.0216110019646365,1.1787819253438114,0.7465618860510805,1.218074656188605
West Ham,0.943025540275049,1.0216110019646365,0.943025540275049,1.650294695481336
Watford,1.0609037328094302,1.218074656188605,0.6679764243614931,1.2966601178781925
Brighton,0.943025540275049,0.9823182711198428,0.3929273084479371,1.1394891944990178
Huddersfield,0.6286836935166994,0.9823182711198428,0.4715127701375245,1.2966601178781925
Southampton,0.7858546168958742,1.0216110019646365,0.6679764243614931,1.1787819253438114
Swansea,0.6679764243614931,0.943025540275049,0.43222003929273084,1.2573673870333988
Stoke,0.7858546168958742,1.1787819253438114,0.5893909626719057,1.493123772102161
West Brom,0.825147347740668,1.1394891944990178,0.3929273084479371,1.0609037328094302
