,AGA,AGF,HGA,HGF
Arsenal,1.3899197245406614,0.8938036657930967,1.1390111928185014,2.309607977493148
Bournemouth,1.2956602743032344,0.9230583220158248,1.4621692456637656,1.0889835409187172
Brighton,1.2461247078177378,0.5084617376443634,1.283855576136878,1.019128670462581
Burnley,1.0506796491067596,0.8941565841391037,0.8902169975211998,0.6819262060968361
Chelsea,0.8526318377323512,1.5627544734830867,0.7260584086496082,1.2332270485896726
Crystal Palace,1.3596084994339546,0.8143128102622365,1.056637937308203,1.24618105347783
Everton,1.5000348149810148,0.7499219448316294,1.0044716428476614,1.2560306137174004
Huddersfield,1.3025157685399136,0.6541402985256326,1.3287038113453429,0.6143966849686527
Leicester,1.6880320651561767,1.460688117189701,1.1499907861887162,1.0261087270512346
Liverpool,1.3774688675422169,1.95574870074561,0.6816014675065317,1.8441408584914716
Man City,0.594169393622477,2.114993038843282,0.6707863653284976,2.491305075436966
Man Utd,0.7516356081255481,1.4291088809860963,0.4846426073573484,1.5831575447602275
Newcastle,1.2002978049291193,0.8682506145920973,0.7483849558851456,0.88459241616839
Southampton,1.2438169304703344,0.8562988004852119,1.2318817874840373,0.8425207927090382
Spurs,0.9684538432842575,1.5511599237454543,0.9323342741060722,1.6925931198468374
Stoke,1.7184729184665755,0.7406106730473978,1.4739476590599716,0.8141625427120642
Swansea,1.3932881896049754,0.5592669799490431,1.1813794836114868,0.7874892908842481
Watford,1.448973825438233,0.7821264402315243,1.5739401159823598,1.0681446173824405
West Brom,1.0367472159720161,0.45741201494863193,1.3938947863358908,0.800859743978601
West Ham,1.6782645379900398,1.2027161237211912,1.3235448322800085,0.9992070942886147
